GeForce GTX 1650 Ti,7520
GRID P40-8Q,7507
Radeon RX 6500M,7386
GeForce GTX 980M,7371
Radeon Pro W5500X,7351
Quadro T2000,7289
L4-8Q,7114
RadeonT 780M,7113
Radeon Pro 5300,7089
Quadro M5000M,7076
GRID P40-24Q,7057
T600 Laptop GPU,7031
Tesla M60,7002
Ryzen 7 4800HS with Radeon Graphics,6999
Quadro P2000,6974
GeForce GTX 1650 (Mobile),6968
Quadro T2000 with Max-Q Design,6951
Radeon 780M,6888
FirePro W8100,6812
Ryzen 9 4900HS with Radeon Graphics,6791
Radeon Ryzen 9 6900HS,6770
Radeon Pro 5500M,6730
extension Adapter,6726
GeForce GTX 970XM FORCE,6707
RadeonT 660M Ryzen 5 6600H,6700
Radeon R9 285,6680
Quadro T1000 with Max-Q Design,6676
Intel Arc Pro 140T GPU,6675
Intel Arc 140T GPU,6669
Quadro M4000,6668
P106-100,6656
A10-8Q,6648
Radeon RX 6450M,6601
GeForce GTX 1650 Ti with Max-Q Design,6591
Radeon Pro WX 7130,6584
RTX A500 Laptop GPU,6583
GRID P40-3Q,6570
Radeon RX Vega M GH,6557
GRID RTX6000-24Q,6521
Radeon 610M Ryzen 9 7845HX,6514
GRID P40-2B4,6501
Quadro T1000,6497
LuminonCore IDDCX Adapter,6479
AMD Ryzen Z1 Extreme,6448
Radeon RX 6300M,6421
Quadro P3000,6418
T600,6373
GeForce GTX 1050 Ti,6354
Radeon Pro 570,6337
GeForce GTX 1650 with Max-Q Design,6329
Intel Arc A380,6306
Intel Arc A380E,6290
GeForce MX570 A,6288
Ryzen 7 6800HS with Radeon Graphics,6240
GRID P4-4Q,6235
Tesla M6,6225
Intel Arc 130T GPU,6199
RTX A500 Embedded GPU,6197
Intel Arc Pro 130T GPU,6178
Ryzen 9 PRO 6950H with Radeon Graphics,6176
Quadro K5200,6159
FirePro W9000,6145
GeForce GTX 960,6135
Radeon R9 380X,6132
Ryzen 9 6900HS with Radeon Graphics,6110
Radeon R9 280X,6088
Quadro M4000M,6072
Radeon Ryzen 7 6800HS,6012
RTX A400,5987
Radeon 610M Ryzen 9 8940HX,5986
Radeon R9 380,5985
Radeon RX 5500M,5983
GeForce GTX 770,5965
Radeon Ryzen 7 6810U,5937
RemotePC Adapter,5929
GRID P40-4Q,5926
GeForce GTX 1050 Ti (Mobile),5918
Intel Arc Pro,5868
Radeon Ryzen 7 7735H w/,5863
Intel Arc Pro A30M,5862
RadeonT 760M,5846
A40-3Q,5842
Radeon Ryzen 7 7736U,5826
Radeon Pro 5300M,5817
Matrox LUMA A380P,5811
