cpu_name,passmark_score,passmark_rank,passmark_value
AMD EPYC 7402,46012,265,184.79
AMD EPYC 7402P,43855,287,40.23
AMD EPYC 7413,50641,228,36.83
AMD EPYC 7443,56743,187,25.43
AMD EPYC 7443P,56808,185,54.36
AMD EPYC 7451,26639,605,14.91
AMD EPYC 7452,45764,268,35.23
AMD EPYC 7453,48453,249,36.57
AMD EPYC 7473X,59280,159,
AMD EPYC 74F3,60666,148,25.29
AMD EPYC 7501,24925,660,18.8
AMD EPYC 7502,52198,214,63.27
AMD EPYC 7502P,51206,222,39.42
AMD EPYC 7513,59745,156,35.3
AMD EPYC 7532,50726,227,225.45
AMD EPYC 7542,45020,280,56.72
AMD EPYC 7543,61909,143,16.46
AMD EPYC 7543P,66590,117,13.05
AMD EPYC 7551,25844,629,258.57
AMD EPYC 7551P,38111,348,115.51
AMD EPYC 7552,57414,176,34.8
AMD EPYC 7571,28574,533,
AMD EPYC 7573X,69432,107,13.23
AMD EPYC 75F3,64505,127,19.58
AMD EPYC 7601,35059,383,106.26
AMD EPYC 7642,59333,158,40.02
AMD EPYC 7643,76259,83,60.19
AMD EPYC 7643P,77307,82,28.4
AMD EPYC 7662,72298,95,15.79
AMD EPYC 7663,81821,72,
AMD EPYC 7702,69060,108,26.87
AMD EPYC 7702P,63692,133,41.09
AMD EPYC 7713,83018,68,63.86
AMD EPYC 7713P,81582,75,33.38
AMD EPYC 7742,69448,106,113.11
AMD EPYC 7763,84440,63,64.12
AMD EPYC 7773X,91340,52,58.44
AMD EPYC 7B12,66044,120,
AMD EPYC 7B13,80079,77,
AMD EPYC 7C13,76073,85,
AMD EPYC 7D12,42285,301,
AMD EPYC 7F32,23253,730,129.22
AMD EPYC 7F52,41388,308,21.84
AMD EPYC 7F72,52840,209,56.31
AMD EPYC 7H12,69633,105,47.21
AMD EPYC 7J13,84786,61,
AMD EPYC 7K23,81183,76,
AMD EPYC 7K62,59533,157,
AMD EPYC 7R12,48934,242,
AMD EPYC 7R13,79046,81,
AMD EPYC 7R32,63969,131,
AMD EPYC 7R43,83535,66,
AMD EPYC 7T83,81757,74,
AMD EPYC 7V12,70622,102,
AMD EPYC 7V13,81764,73,
AMD EPYC 8024P,20455,880,26.25
AMD EPYC 8124P,36079,372,
AMD EPYC 8224P,45421,275,43.33
AMD EPYC 8324P,57127,184,15.87
AMD EPYC 8324PN 32-Core,8375,1702,
AMD EPYC 8434P,66490,118,15.47
AMD EPYC 8534P,71900,99,11.42
AMD EPYC 9015,30505,480,57.89
AMD EPYC 9115,48504,248,66.81
AMD EPYC 9124,43646,289,43.0
AMD EPYC 9135,57808,171,47.62
AMD EPYC 9174F,53067,206,23.33
AMD EPYC 9175F,65894,121,15.48
AMD EPYC 9184X,48058,253,12.82
AMD EPYC 9224,48967,241,27.36
AMD EPYC 9254,63540,134,31.85
AMD EPYC 9255,75809,86,
AMD EPYC 9274F,73982,92,29.71
AMD EPYC 9275F,84620,62,24.61
AMD EPYC 9334,65568,123,27.9
AMD EPYC 9354,73892,93,26.2
AMD EPYC 9354P,74626,90,32.73
AMD EPYC 9355P,97235,44,32.43
AMD EPYC 9374F,82009,71,14.04
AMD EPYC 9375F,95768,46,18.05
AMD EPYC 9384X,72121,97,13.04
AMD EPYC 9454,87961,58,27.07
AMD EPYC 9454P,94708,48,27.45
AMD EPYC 9455P,116912,27,24.26
AMD EPYC 9474F,102255,38,16.48
AMD EPYC 9475F,122476,21,16.13
AMD EPYC 9534,89077,56,24.4
AMD EPYC 9554,103544,36,29.3
AMD EPYC 9554P,104920,35,23.06
AMD EPYC 9555P,135990,13,17.03
AMD EPYC 9565,135221,15,12.9
AMD EPYC 9575F,147894,10,19.24
AMD EPYC 9634,107944,32,27.33
AMD EPYC 9654,119235,23,23.02
AMD EPYC 9654P,116324,29,21.76
AMD EPYC 9655,156110,7,13.17
AMD EPYC 9655P,160490,5,14.85
AMD EPYC 9684X,122017,22,15.74
AMD EPYC 9734,102286,37,15.5
AMD EPYC 9745,130698,17,10.76
AMD EPYC 9754,98450,43,28.13
AMD EPYC 9754 128-Core Emb,115016,30,
AMD EPYC 9755,166328,2,12.81
AMD EPYC 9845,152985,9,11.28
AMD EPYC 9965,160542,4,10.84
AMD EPYC 9B14,125887,19,
AMD EPYC 9B45,158790,6,11.71
AMD EPYC 9D25,114275,31,
AMD EPYC 9J14,124637,20,
AMD EPYC 9R14,116475,28,
AMD EPYC 9R45,6922,1927,
AMD EPYC 9V74,117606,25,
AMD EPYC Embedded 7292P,30542,479,
AMD EPYC Embedded 8224P,48869,245,
AMD EPYC Embedded 9654P,116927,26,
AMD EPYC Embedded 9755,164010,3,
AMD FirePro A320 APU,2153,3462,
AMD FX-4100 Quad-Core,2629,3158,164.34
AMD FX-4130 Quad-Core,2724,3104,52.36
AMD FX-4150 Quad-Core,3327,2827,
AMD FX-4170 Quad-Core,3124,2915,136.11
AMD FX-4200 Quad-Core,3119,2918,52.03
AMD FX-4300 Quad-Core,2995,2985,61.13
AMD FX-4320,3168,2897,
AMD FX-4330,3146,2906,4.29
AMD FX-4350 Quad-Core,3188,2885,34.65
AMD FX-6100 Six-Core,3687,2690,83.72
AMD FX-6120 Six-Core,3853,2626,71.3
AMD FX-6130 Six-Core,4353,2488,
AMD FX-6200 Six-Core,4112,2546,14.69
AMD FX-6300 Six-Core,4226,2516,28.18
AMD FX-6330 Six-Core,4433,2466,
AMD FX-6350 Six-Core,4644,2416,56.62
AMD FX-670K Quad-Core,2980,2994,
AMD FX-7500 APU,1925,3599,
AMD FX-7600P,2557,3203,
AMD FX-7600P APU,2856,3047,
AMD FX-770K Quad-Core,3169,2896,
AMD FX-8100 Eight-Core,4095,2556,41.78
AMD FX-8120 Eight-Core,4635,2420,59.4
AMD FX-8140 Eight-Core,4860,2370,32.65
AMD FX-8150 Eight-Core,5318,2274,78.18
AMD FX-8300 Eight-Core,5333,2268,50.28
AMD FX-8310 Eight-Core,5050,2336,30.78
AMD FX-8320 Eight-Core,5477,2235,53.69
AMD FX-8320E Eight-Core,5124,2322,35.58
AMD FX-8350 Eight-Core,6090,2087,24.56
AMD FX-8370 Eight-Core,6181,2069,24.53
AMD FX-8370E Eight-Core,5327,2271,25.13
AMD FX-870K Quad Core,3227,2869,
